latitude,longitude,probability,probability_str
37.20848372,-80.55997375,0.000434272,0.000434272
37.19916594,-80.5594924,0.000710834,0.000710834
37.19963183,-80.5594924,0.000755068,0.000755068
37.20009772,-80.5594924,0.00079694,0.00079694
37.2005636,-80.5594924,0.00083577,0.00083577
37.20102949,-80.5594924,0.000870905,0.000870905
37.20149538,-80.5594924,0.000901729,0.000901729
37.20196127,-80.5594924,0.000927691,0.000927691
37.20242716,-80.5594924,0.000948316,0.000948316
37.20289305,-80.5594924,0.000963218,0.000963218
37.20335894,-80.5594924,0.000972115,0.000972115
37.20382483,-80.5594924,0.00097484,0.00097484
37.20429072,-80.5594924,0.000971339,0.000971339
37.20475661,-80.5594924,0.000961679,0.000961679
37.20522249,-80.5594924,0.000946044,0.000946044
37.20568838,-80.5594924,0.000924729,0.000924729
37.20615427,-80.5594924,0.000898131,0.000898131
37.20662016,-80.5594924,0.000866736,0.000866736
37.20708605,-80.5594924,0.000831106,0.000831106
37.20755194,-80.5594924,0.000791858,0.000791858
37.20801783,-80.5594924,0.000749653,0.000749653
37.20848372,-80.5594924,0.000446062,0.000446062
37.19916594,-80.55901106,0.000725476,0.000725476
37.19963183,-80.55901106,0.000770621,0.000770621
37.20009772,-80.55901106,0.000813355,0.000813355
37.2005636,-80.55901106,0.000852986,0.000852986
37.20102949,-80.55901106,0.000888844,0.000888844
37.20149538,-80.55901106,0.000920303,0.000920303
37.20196127,-80.55901106,0.000946801,0.000946801
37.20242716,-80.55901106,0.00096785,0.00096785
37.20289305,-80.55901106,0.000983059,0.000983059
37.20335894,-80.55901106,0.00099214,0.00099214
37.20382483,-80.55901106,0.00099492,0.00099492
37.20429072,-80.55901106,0.000991347,0.000991347
37.20475661,-80.55901106,0.000981488,0.000981488
37.20522249,-80.55901106,0.000965531,0.000965531
37.20568838,-80.55901106,0.000943777,0.000943777
37.20615427,-80.55901106,0.000916631,0.000916631
37.20662016,-80.55901106,0.00088459,0.00088459
37.20708605,-80.55901106,0.000848225,0.000848225
37.20755194,-80.55901106,0.000808169,0.000808169
37.20801783,-80.55901106,0.000765095,0.000765095
37.20848372,-80.55901106,0.00045525,0.00045525
37.19916594,-80.55852972,0.000735699,0.000735699
37.19963183,-80.55852972,0.00078148,0.00078148
37.20009772,-80.55852972,0.000824816,0.000824816
37.2005636,-80.55852972,0.000865006,0.000865006
37.20102949,-80.55852972,0.000901369,0.000901369
37.20149538,-80.55852972,0.000933271,0.000933271
37.20196127,-80.55852972,0.000960142,0.000960142
37.20242716,-80.55852972,0.000981488,0.000981488
37.20289305,-80.55852972,0.000996911,0.000996911
37.20335894,-80.55852972,0.00100612,0.00100612
37.20382483,-80.55852972,0.00100894,0.00100894
37.20429072,-80.55852972,0.001005316,0.001005316
37.20475661,-80.55852972,0.000995318,0.000995318
37.20522249,-80.55852972,0.000979136,0.000979136
